leto;ime;priimek;kategorija;spol;datum rojstva;drzava rojstva
1953;Hermann;Staudinger;chemistry;male;1881-03-23;DE
1907;Rudyard;Kipling;literature;male;1865-12-30;IN
1956;William B.;Shockley;physics;male;13-02-1910;GB
2022;Philip;Dybvig;economics;male;22-05-1955;US
1983;Barbara;McClintock;medicine;female;16-06-1902;US
1927;Ludwig;Quidde;peace;male;1858-03-23;DE
2001;Kofi;Annan;peace;male;08-04-1938;GH
1977;Rosalyn;Yalow;medicine;female;19-07-1921;US
2017;Kazuo;Ishiguro;literature;male;08-11-1954;JP
1949;John;Boyd Orr;peace;male;1880-09-23;GB
1978;Isaac Bashevis;Singer;literature;male;14-07-1904;PL
1975;Leonid Vitaliyevich;Kantorovich;economics;male;19-01-1912;RU
1943;Edward A.;Doisy;medicine;male;1893-11-13;US
1924;Manne;Siegbahn;physics;male;1886-12-03;SE
1996;Rolf M.;Zinkernagel;medicine;male;06-01-1944;CH
2011;Ralph M.;Steinman;medicine;male;14-01-1943;CA
2010;Konstantin;Novoselov;physics;male;23-08-1974;RU
1968;René;Cassin;peace;male;1887-10-05;FR
2007;Roger B.;Myerson;economics;male;29-03-1951;US
1918;Fritz;Haber;chemistry;male;1868-12-09;PL
1911;Alfred;Fried;peace;male;1864-11-11;AT
1994;Bertram N.;Brockhouse;physics;male;15-07-1918;CA
1969;International Labour Organization;;peace;org;1919-00-00;
1994;Yasser;Arafat;peace;male;24-08-1929;EG
1975;Vladimir;Prelog;chemistry;male;23-07-1906;BA
